"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
184,"1","2024-06-09T22:17:12.606256Z",1010,3.231,"Neutral","اهيه","2024-06-09T22:17:12.606256Z"
185,"1","2024-06-09T22:17:18.084764Z",1011,4.059,"Negative","شيباني افجل إيشير","2024-06-09T22:17:18.084764Z"
186,"1","2024-06-09T22:17:21.820275Z",1012,2.521,"Positive","السلام عليكم ورحمة الله وبركاته","2024-06-09T22:17:21.820275Z"
187,"1","2024-06-09T22:17:26.600887Z",1013,3.291,"Negative","انك محترم يواجعة","2024-06-09T22:17:26.600887Z"
188,"1","2024-06-09T22:17:30.816264Z",1014,2.682,"Positive"," زين","2024-06-09T22:17:30.816264Z"
189,"1","2024-06-09T22:17:42.000460Z",1015,9.777,"Neutral","اهيه ","2024-06-09T22:17:42.000460Z"
190,"1","2024-06-09T22:17:46.506438Z",1016,1.836,"Neutral","ياااخوتي  ","2024-06-09T22:17:46.506438Z"
191,"1","2024-06-09T22:17:49.625749Z",1017,1.728,"Negative","مانك محترم ","2024-06-09T22:17:49.625749Z"
192,"1","2024-06-09T22:18:00.751253Z",1018,9.261,"Neutral","يواجعة","2024-06-09T22:18:00.751253Z"
193,"1","2024-06-09T22:18:03.949614Z",1019,1.908,"Neutral","ههه م","2024-06-09T22:18:03.949614Z"
194,"1","2024-06-09T22:18:14.845583Z",1020,9.719,"Positive","ختطاف الهاتف  كول سرقة الهاتف  ذا المحرر زين فيه يعدلول دورات تكوينية","2024-06-09T22:18:14.845583Z"
195,"1","2024-06-09T22:18:34.533376Z",1021,18.301,"Negative","مرخاكم ذمن تلفون گط أصرگن ولانطحت فيه عنز","2024-06-09T22:18:34.533376Z"
196,"1","2024-06-09T22:18:39.901670Z",1022,3.49,"Positive","تگدْ بعد ماتشفرْها ..ماشاء الله","2024-06-09T22:18:39.901670Z"
197,"1","2024-06-09T22:18:49.526927Z",1023,8.282,"Negative","الذين كانوا وراء اختطاف الهاتف لله اريحنا من هذا النوع من الصحافة","2024-06-09T22:18:49.526927Z"
198,"1","2024-06-09T22:18:56.135627Z",1024,3.041,"Neutral","ذاك شفناه","2024-06-09T22:18:56.135627Z"
199,"1","2024-06-09T22:19:02.984565Z",1025,5.378,"Neutral","صور خاص  هو شي ماهو مناسب دايرو حد  افتلفون لاش كاع","2024-06-09T22:19:02.984565Z"
200,"1","2024-06-09T22:19:08.566168Z",1026,4.393,"Negative","ذ أثر مهم","2024-06-09T22:19:08.566168Z"
201,"1","2024-06-09T22:19:14.469852Z",1027,4.597,"Positive","كرمى بعد ذى فنانة اكبيرة","2024-06-09T22:19:14.469852Z"
202,"1","2024-06-09T22:19:21.885112Z",1028,6.171,"Negative","هههه نعوذ بالله","2024-06-09T22:19:21.885112Z"
203,"1","2024-06-09T22:19:30.353499Z",1029,7.115,"Negative","11ياااخوتي تلفون ماه أملم الحد وحد حااافظ اعل راص من ذو تلفونات وغيرهم نسأل الله السلامة والعافية","2024-06-09T22:19:30.353499Z"
204,"1","2024-06-09T22:21:09.089906Z",1030,6.003,"Neutral","كرمي منهي وزيرة رئيسة مصلحة سفيرة منهي ذي السيدة لو سمحتم","2024-06-09T22:21:09.089906Z"
